"raw_name","query_name","gbif_resolved_name","checklist_source","manual_checklist_id","manual_checklist_name","notes","date_added"
"Setophaga auduboni","Setophaga auduboni","Setophaga auduboni","avilist_2025",,,,"2026-09-23"
"Spilotes pullatus","Spilotes pullatus","Spilotes pullatus","avilist_2025",,,,"2026-09-23"
"Sternidae sp.","Sternidae","Sternidae","avilist_2025",,,,"2026-09-23"
"Swan sp.","Swan","Swan","avilist_2025",,,,"2026-09-23"
"Tanagra sp.","Tanagra","Tanagra","avilist_2025",,,,"2026-09-23"
"Tanagra spp.","Tanagra","Tanagra","avilist_2025",,,,"2026-09-23"
"Thalasseus sandvicensis eurygnatha","Thalasseus sandvicensis eurygnatha","Thalasseus acuflavidus","avilist_2025",,,,"2026-09-23"
"Thambetochen sp.","Thambetochen","Thambetochen","avilist_2025",,,,"2026-09-23"
"Trypanosoma cruzi","Trypanosoma cruzi","Rhodnius milesi","avilist_2025",,,,"2026-09-23"
"Turdus flavirostris","Turdus flavirostris","Turdus flavirostris","avilist_2025",,,,"2026-09-23"
"Unid. Lark sp.","Unid. Lark","Chromatiales","avilist_2025",,,,"2026-09-23"
"Unid. Raptor sp.","Unid. Raptor","Aves","avilist_2025",,,,"2026-09-23"
"Veniliornis fumigatus","Veniliornis fumigatus","Veniliornis fumigatus","avilist_2025",,,,"2026-09-23"
"Wading bird sp.","Wading bird","Aves","avilist_2025",,,,"2026-09-23"
"Waterbird sp.","Waterbird","Aves","avilist_2025",,,,"2026-09-23"
"mountain-gem","mountain-gem","Trochilinae","avilist_2025",,,,"2026-09-23"
"raptor sp.","raptor","Aves","avilist_2025",,,,"2026-09-23"
"unid. Owl sp.","Owl sp.","Cavibelonia","avilist_2025",,,,"2026-09-23"
"unid. Raptor sp.","Raptor sp.","Arthropoda","avilist_2025",,,,"2026-09-23"
"unid. screech-owl sp.","screech-owl sp.","Megascops ","avilist_2025",,,,"2026-09-23"
